kid cudi+day 'n' nite,kid cudi,day 'n' nite,"['verse', 'nite', 'toss', 'turn', 'keep', 'stressin', 'mind', 'mind', 'look', 'peace', 'dont', 'attain', 'need', 'keeps', 'silly', 'game', 'play', 'play', 'look', 'madness', 'magnet', 'keeps', 'attracting', 'fast', 'think', 'first', 'surely', 'finish', 'last', 'last', 'chorus', 'cause', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'alone', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'nite', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'alone', 'things', 'never', 'change', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'nite', 'verse', 'hold', 'phone', 'lonely', 'stoner', 'missed', 'solo', 'move', 'cant', 'seem', 'shake', 'shake', 'within', 'dreams', 'sees', 'life', 'made', 'made', 'pain', 'deep', 'silent', 'sleeper', 'wont', 'hear', 'peep', 'peep', 'girl', 'wants', 'dont', 'seem', 'want', 'seems', 'feelings', 'chorus', 'cause', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'alone', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'nite', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'alone', 'things', 'never', 'change', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'nite', 'verse', 'slow', 'tempo', 'slows', 'creates', 'seems', 'alive', 'though', 'feelin', 'blue', 'shinin', 'super', 'cool', 'cool', 'lonely', 'nites', 'fade', 'away', 'slips', 'white', 'nikes', 'smokes', 'clip', 'free', 'mind', 'search', 'free', 'mind', 'search', 'free', 'mind', 'search', 'chorus', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'alone', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'nite', 'nite', 'lonely', 'stoner', 'seems', 'free', 'mind', 'nite', 'alone', 'things', 'never', 'change', 'lonely', 'loner', 'seems', 'free', 'mind', 'night', 'night']"
kid cudi+make her say,kid cudi,make her say,"['feat', 'kanye', 'west', 'common', 'cudi', 'make', 'lady', 'gaga', 'poker', 'face', 'poker', 'face', 'make', 'ohwhat', 'poker', 'face', 'first', 'poker', 'face', 'cudi', 'wanna', 'whatever', 'like', 'bring', 'friend', 'hell', 'night', 'mean', 'stand', 'like', 'grouper', 'cause', 'gotta', 'beeper', 'mean', 'prime', 'might', 'sayin', 'aint', 'joggin', 'either', 'girl', 'gotta', 'phat', 'yeah', 'type', 'make', 'tell', 'bitch', 'dance', 'fuck', 'otha', 'niggas', 'cause', 'bitches', 'fuck', 'otha', 'niggas', 'cause', 'stickin', 'fuck', 'otha', 'niggas', 'cause', 'hope', 'lickin', 'fuck', 'otha', 'bitches', 'cause', 'trickin', 'hoping', 'rider', 'said', 'done', 'spit', 'swallow', 'nooow', 'aint', 'trip', 'bout', 'niggas', 'like', 'cause', 'mommy', 'know', 'could', 'really', 'make', 'lady', 'gaga', 'poker', 'face', 'poker', 'face', 'make', 'ohwhen', 'poker', 'face', 'poker', 'face', 'kanye', 'west', 'want', 'whatever', 'like', 'gonna', 'bring', 'friend', 'gonna', 'hell', 'night', 'made', 'hold', 'upyea', 'born', '88word', 'thatdamn', 'enough', 'seniority', 'sorority', 'explains', 'love', 'college', 'getting', 'brain', 'library', 'cause', 'love', 'knowledge', 'used', 'medulla', 'oblongata', 'give', 'scoliosis', 'comatosest', 'sleep', 'yeah', 'osmosis', 'thats', 'commandment', 'aint', 'gotta', 'moses', 'champagne', 'toastest', 'damn', 'planes', 'coastest', 'fuck', 'benz', 'parked', 'like', 'rosa', 'lady', 'gaga', 'poker', 'face', 'poker', 'face', 'make', 'ohwhen', 'poker', 'face', 'poker', 'facei', 'make', 'common', 'said', 'want', 'whatever', 'like', 'gotta', 'bring', 'friend', 'hell', 'night', 'blamed', 'alcohol', 'hair', 'bound', 'fall', 'damn', 'cudi', 'already', 'said', 'poker', 'face', 'book', 'already', 'read', 'head', 'gooder', 'music', 'electro', 'body', 'known', 'blow', 'fuses', 'stripper', 'south', 'lookin', 'payday', 'said', 'bitch', 'love', 'like', 'conscious', 'head', 'right', 'conscious', 'dick', 'embody', 'everything', 'godly', 'party', 'raised', 'southside', 'safari', 'lady', 'gaga', 'poker', 'face', 'poker', 'face', 'make', 'ohwhen', 'poker', 'face', 'poker', 'facei', 'make', 'lady', 'gaga', 'cant', 'read', 'cant', 'read', 'cant', 'read', 'poker', 'face', 'shes', 'like', 'nobody']"
kid cudi+she came along,kid cudi,she came along,"['strange', 'stopped', 'loving', 'loving', 'stopped', 'needing', 'needing', 'came', 'along', 'strange', 'changed', 'like', 'night', 'night', 'walked', 'away', 'walked', 'away', 'came', 'along', 'baby', 'baby', 'upset', 'know', 'shady', 'blame', 'like', 'fugazy', 'work', 'lazy', 'sayin', 'shame', 'left', 'chick', 'double', 'separate', 'like', 'siamese', 'didnt', 'anybody', 'tell', 'better', 'threes', 'reason', 'knock', 'kneed', 'tell', 'homie', 'zulee', 'wouldnt', 'knock', 'tell', 'lies', 'youre', 'sloppy', 'leave', 'friends', 'jock', 'understand', 'know', 'please', 'understand', 'lovin', 'tease', 'right', 'mind', 'probably', 'leave', 'cant', 'three', 'peoples', 'strange', 'stopped', 'loving', 'loving', 'stopped', 'needing', 'needing', 'came', 'along', 'strange', 'changed', 'like', 'night', 'night', 'walked', 'away', 'walked', 'away', 'came', 'along', 'please', 'listen', 'dont', 'baby', 'live', 'life', 'fine', 'ladies', 'heads', 'better', 'gave', 'messed', 'stressin', 'lately', 'please', 'tell', 'know', 'gotta', 'feel', 'feel', 'imagine', 'lounging', 'together', 'feel', 'feel', 'feel', 'love', 'triangle', 'love', 'angles', 'spend', 'time', 'wont', 'trip', 'spazz', 'long', 'home', 'freak', 'friends', 'know', 'exactly', 'bout', 'heavy', 'living', 'dreams', 'sexy', 'know', 'probably', 'think', 'stress', 'free', 'without', 'ever', 'left', 'never', 'better', 'youll', 'miss', 'baby', 'baby', 'talk', 'tell', 'lets', 'work', 'baby', 'need', 'baby', 'yall', 'baby', 'need', 'baby', 'yall', 'need', 'baby', 'take', 'hand', 'baby', 'girl', 'lets', 'roll', 'make', 'feel', 'okay', 'take', 'hand', 'make', 'feel', 'okay', 'okay', 'strange', 'stopped', 'loving', 'loving', 'stopped', 'needing', 'needing', 'came', 'along', 'strange', 'changed', 'like', 'night', 'night', 'walked', 'away', 'walked', 'away', 'came', 'along', 'strange', 'stopped', 'loving', 'loving', 'stopped', 'needing', 'needing', 'came', 'along', 'strange', 'changed', 'like', 'night', 'night', 'walked', 'away', 'walked', 'away', 'came', 'along']"
lorde+tennis court,lorde,tennis court,"['dont', 'think', 'boring', 'people', 'talk', 'making', 'smart', 'words', 'well', 'bored', 'thrill', 'killing', 'never', 'chasing', 'million', 'things', 'want', 'young', 'minute', 'full', 'getting', 'pumped', 'little', 'bright', 'things', 'bought', 'know', 'theyll', 'never', 'yeah', 'baby', 'class', 'clown', 'beauty', 'queen', 'tears', 'form', 'showing', 'people', 'little', 'care', 'yeah', 'happy', 'even', 'smiling', 'fear', 'lets', 'tennis', 'court', 'talk', 'like', 'yeah', 'yeah', 'pretty', 'soon', 'getting', 'first', 'plane', 'veins', 'city', 'like', 'space', 'heads', 'filling', 'fast', 'wicked', 'games', 'flames', 'known', 'boys', 'trip', 'heads', 'loving', 'everythings', 'cool', 'line', 'throne', 'know', 'forever', 'yeah', 'baby', 'class', 'clown', 'beauty', 'queen', 'tears', 'form', 'showing', 'people', 'little', 'care', 'yeah', 'happy', 'even', 'smiling', 'fear', 'lets', 'tennis', 'court', 'talk', 'like', 'yeah', 'yeah', 'looked', 'alright', 'pictures', 'yeah', 'getting', 'caughts', 'trip', 'though', 'isnt', 'yeah', 'fall', 'apart', 'heart', 'yeah', 'could', 'watch', 'window', 'yeah', 'could', 'watch', 'window', 'baby', 'class', 'clown', 'beauty', 'queen', 'tears', 'form', 'showing', 'people', 'little', 'care', 'yeah', 'happy', 'even', 'smiling', 'fear', 'lets', 'tennis', 'court', 'talk', 'like', 'yeah', 'yeah', 'talk', 'like', 'yeah', 'yeah', 'talk', 'like', 'yeah', 'yeah', 'lets', 'tennis', 'court', 'talk', 'like', 'yeah', 'yeah', 'talk', 'like', 'yeah', 'yeah', 'talk', 'like', 'yeah', 'yeah', 'lets', 'tennis', 'court', 'talk', 'like', 'yeah', 'yeah']"
kid cudi+day 'n' nite,kid cudi,day 'n' nite,"['verse', 'nite', 'toss', 'turn', 'keep', 'stressin', 'mind', 'mind', 'look', 'peace', 'dont', 'attain', 'need', 'keeps', 'silly', 'game', 'play', 'play', 'look', 'madness', 'magnet', 'keeps', 'attracting', 'fast', 'think', 'first', 'surely', 'finish', 'last', 'last', 'chorus', 'cause', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'alone', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'nite', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'alone', 'things', 'never', 'change', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'nite', 'verse', 'hold', 'phone', 'lonely', 'stoner', 'missed', 'solo', 'move', 'cant', 'seem', 'shake', 'shake', 'within', 'dreams', 'sees', 'life', 'made', 'made', 'pain', 'deep', 'silent', 'sleeper', 'wont', 'hear', 'peep', 'peep', 'girl', 'wants', 'dont', 'seem', 'want', 'seems', 'feelings', 'chorus', 'cause', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'alone', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'nite', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'alone', 'things', 'never', 'change', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'nite', 'verse', 'slow', 'tempo', 'slows', 'creates', 'seems', 'alive', 'though', 'feelin', 'blue', 'shinin', 'super', 'cool', 'cool', 'lonely', 'nites', 'fade', 'away', 'slips', 'white', 'nikes', 'smokes', 'clip', 'free', 'mind', 'search', 'free', 'mind', 'search', 'free', 'mind', 'search', 'chorus', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'alone', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'nite', 'nite', 'lonely', 'stoner', 'seems', 'free', 'mind', 'nite', 'alone', 'things', 'never', 'change', 'lonely', 'loner', 'seems', 'free', 'mind', 'night', 'night']"
lorde+royals,lorde,royals,"['never', 'seen', 'diamond', 'flesh', 'teeth', 'wedding', 'rings', 'movies', 'proud', 'address', 'torn', 'town', 'post', 'code', 'envy', 'every', 'songs', 'like', 'gold', 'teeth', 'grey', 'goose', 'trippin', 'bathroom', 'blood', 'stains', 'ball', 'gowns', 'trashin', 'hotel', 'room', 'dont', 'care', 'driving', 'cadillacs', 'dreams', 'everybodys', 'like', 'crystal', 'maybach', 'diamonds', 'time', 'piece', 'planes', 'islands', 'tigers', 'gold', 'leash', 'dont', 'care', 'arent', 'caught', 'love', 'affair', 'well', 'never', 'royals', 'royals', 'dont', 'blood', 'kind', 'aint', 'crave', 'different', 'kind', 'buzz', 'ruler', 'ruler', 'call', 'queen', 'baby', 'rule', 'rule', 'rule', 'rule', 'live', 'fantasy', 'friends', 'weve', 'cracked', 'code', 'count', 'dollars', 'train', 'party', 'everyone', 'knows', 'knows', 'fine', 'didnt', 'come', 'money', 'every', 'songs', 'like', 'gold', 'teeth', 'grey', 'goose', 'trippin', 'bathroom', 'blood', 'stains', 'ball', 'gowns', 'trashin', 'hotel', 'room', 'dont', 'care', 'driving', 'cadillacs', 'dreams', 'everybodys', 'like', 'crystal', 'maybach', 'diamonds', 'time', 'piece', 'planes', 'islands', 'tigers', 'gold', 'leash', 'dont', 'care', 'arent', 'caught', 'love', 'affair', 'well', 'never', 'royals', 'royals', 'dont', 'blood', 'kind', 'aint', 'crave', 'different', 'kind', 'buzz', 'ruler', 'ruler', 'call', 'queen', 'baby', 'rule', 'rule', 'rule', 'rule', 'live', 'fantasy', 'oooh', 'ooooh', 'ohhh', 'bigger', 'ever', 'dreamed', 'love', 'queen', 'oooooh', 'ooooh', 'ohhhhh', 'life', 'game', 'without', 'care', 'arent', 'caught', 'love', 'affair', 'well', 'never', 'royals', 'royals', 'dont', 'blood', 'kind', 'aint', 'crave', 'different', 'kind', 'buzz', 'ruler', 'ruler', 'call', 'queen', 'baby', 'rule', 'rule', 'rule', 'rule', 'live', 'fantasy']"
lorde+team,lorde,team,"['wait', 'youre', 'announced', 'weve', 'lost', 'graces', 'hounds', 'stay', 'chains', 'look', 'upon', 'greatness', 'shell', 'send', 'call', 'send', 'call', 'send', 'call', 'send', 'call', 'send', 'call', 'send', 'call', 'send', 'call', 'send', 'call', 'send', 'call', 'send', 'call', 'send', 'call', 'send', 'call', 'send', 'call', 'send', 'call', 'send', 'call', 'send', 'call', 'call', 'ladies', 'theyre', 'finery', 'hundred', 'jewels', 'throats', 'hundred', 'jewels', 'teeth', 'bring', 'boys', 'skin', 'craters', 'like', 'moon', 'moon', 'love', 'like', 'brother', 'glows', 'room', 'dancing', 'around', 'lies', 'tell', 'dancing', 'around', 'eyes', 'well', 'even', 'comatose', 'dont', 'dance', 'tell', 'live', 'cities', 'youll', 'never', 'screen', 'pretty', 'sure', 'know', 'things', 'living', 'ruins', 'palace', 'within', 'dreams', 'know', 'others', 'team', 'kind', 'getting', 'told', 'throw', 'hands', 'cups', 'broke', 'shards', 'beneath', 'feet', 'wasnt', 'fault', 'everyones', 'competing', 'love', 'wont', 'receive', 'cause', 'palace', 'wants', 'release', 'live', 'cities', 'youll', 'never', 'screen', 'pretty', 'sure', 'know', 'things', 'living', 'ruins', 'palace', 'within', 'dreams', 'know', 'others', 'team', 'kind', 'getting', 'told', 'throw', 'hands', 'kind', 'older', 'reveled', 'without', 'care', 'live', 'cities', 'youll', 'never', 'screen', 'pretty', 'sure', 'know', 'things', 'living', 'ruins', 'palace', 'within', 'dreams', 'know', 'others', 'team', 'others', 'team', 'know', 'others', 'team', 'others', 'team', 'know', 'know', 'know']"
lorde+buzzcut season,lorde,buzzcut season,"['remember', 'head', 'caught', 'flame', 'kissed', 'scalp', 'caressed', 'brain', 'remember', 'head', 'caught', 'flame', 'well', 'laughed', 'baby', 'okay', 'buzzcut', 'season', 'anyway', 'well', 'laughed', 'baby', 'okay', 'explosions', 'girls', 'heads', 'inside', 'dream', 'live', 'beside', 'pool', 'everything', 'good', 'ride', 'knees', 'pulled', 'people', 'living', 'ride', 'knees', 'pulled', 'shut', 'eyes', 'song', 'plays', 'sometimes', 'sweet', 'taste', 'shut', 'eyes', 'song', 'plays', 'news', 'tell', 'lose', 'easy', 'blue', 'everything', 'good', 'never', 'home', 'place', 'call', 'feel', 'start', 'favorite', 'friend', 'nothings', 'nothings', 'true', 'live', 'hologram', 'things', 'breathe', 'goes', 'play', 'along', 'make', 'believe', 'hyper', 'real', 'live', 'hologram', 'cola', 'burnt', 'taste', 'tell', 'fears', 'therell', 'never', 'enough', 'explosions', 'girls', 'heads', 'inside', 'dream', 'live', 'beside', 'pool', 'everything', 'good', 'never', 'home', 'place', 'call', 'feel', 'start', 'favorite', 'friend', 'nothings', 'nothings', 'true', 'live', 'hologram', 'things', 'breathe', 'goes', 'play', 'along', 'make', 'believe', 'hyper', 'real', 'live', 'hologram']"
lorde+ribs,lorde,ribs,"['drink', 'spilt', 'lovers', 'spit', 'left', 'repeat', 'stay', 'home', 'drives', 'crazy', 'getting', 'talk', 'good', 'make', 'divine', 'talk', 'good', 'wish', 'would', 'time', 'drink', 'spilt', 'lovers', 'spit', 'left', 'repeat', 'stay', 'home', 'drives', 'crazy', 'getting', 'drink', 'spilt', 'lovers', 'spit', 'left', 'repeat', 'stay', 'home', 'drives', 'crazy', 'getting', 'dream', 'isnt', 'feeling', 'sweet', 'reeling', 'midnight', 'streets', 'never', 'felt', 'alone', 'feels', 'scary', 'getting', 'talk', 'good', 'make', 'divine', 'talk', 'good', 'wish', 'would', 'time', 'dream', 'isnt', 'feeling', 'sweet', 'reeling', 'midnight', 'streets', 'never', 'felt', 'alone', 'feels', 'scary', 'getting', 'dream', 'isnt', 'feeling', 'sweet', 'reeling', 'midnight', 'streets', 'never', 'felt', 'alone', 'feels', 'scary', 'getting', 'youre', 'friend', 'need', 'youre', 'friend', 'need', 'sharing', 'beds', 'like', 'little', 'kids', 'sharing', 'beds', 'like', 'kids', 'laugh', 'ribs', 'tough', 'soft', 'laugh', 'ribs', 'tough', 'soft', 'never', 'love', 'never', 'love', 'youre', 'friend', 'need', 'youre', 'friend', 'need', 'sharing', 'beds', 'like', 'little', 'kids', 'sharing', 'beds', 'like', 'kids', 'laugh', 'ribs', 'tough', 'soft', 'laugh', 'ribs', 'tough', 'soft', 'never', 'love', 'never', 'love', 'never', 'love', 'never', 'love', 'never', 'love']"
lorde+royals (ross horkings remix),lorde,royals (ross horkings remix),"['never', 'seen', 'diamond', 'flesh', 'teeth', 'wedding', 'rings', 'movies', 'proud', 'address', 'torn', 'town', 'post', 'code', 'envy', 'every', 'songs', 'like', 'gold', 'teeth', 'grey', 'goose', 'trippin', 'bathroom', 'blood', 'stains', 'ball', 'gowns', 'trashin', 'hotel', 'room', 'dont', 'care', 'driving', 'cadillacs', 'dreams', 'everybodys', 'like', 'crystal', 'maybach', 'diamonds', 'time', 'piece', 'planes', 'islands', 'tigers', 'gold', 'leash', 'dont', 'care', 'arent', 'caught', 'love', 'affair', 'well', 'never', 'royals', 'royals', 'dont', 'blood', 'kind', 'aint', 'crave', 'different', 'kind', 'buzz', 'ruler', 'ruler', 'call', 'queen', 'baby', 'rule', 'rule', 'rule', 'rule', 'live', 'fantasy', 'friends', 'weve', 'cracked', 'code', 'count', 'dollars', 'train', 'party', 'everyone', 'knows', 'knows', 'fine', 'didnt', 'come', 'money', 'every', 'songs', 'like', 'gold', 'teeth', 'grey', 'goose', 'trippin', 'bathroom', 'blood', 'stains', 'ball', 'gowns', 'trashin', 'hotel', 'room', 'dont', 'care', 'driving', 'cadillacs', 'dreams', 'everybodys', 'like', 'crystal', 'maybach', 'diamonds', 'time', 'piece', 'planes', 'islands', 'tigers', 'gold', 'leash', 'dont', 'care', 'arent', 'caught', 'love', 'affair', 'well', 'never', 'royals', 'royals', 'dont', 'blood', 'kind', 'aint', 'crave', 'different', 'kind', 'buzz', 'ruler', 'ruler', 'call', 'queen', 'baby', 'rule', 'rule', 'rule', 'rule', 'live', 'fantasy', 'oooh', 'ooooh', 'ohhh', 'bigger', 'ever', 'dreamed', 'love', 'queen', 'oooooh', 'ooooh', 'ohhhhh', 'life', 'game', 'without', 'care', 'arent', 'caught', 'love', 'affair', 'well', 'never', 'royals', 'royals', 'dont', 'blood', 'kind', 'aint', 'crave', 'different', 'kind', 'buzz', 'ruler', 'ruler', 'call', 'queen', 'baby', 'rule', 'rule', 'rule', 'rule', 'live', 'fantasy']"
Kid Cudi+day 'n' nite,Kid Cudi,day 'n' nite,"['verse', 'nite', 'toss', 'turn', 'keep', 'stressin', 'mind', 'mind', 'look', 'peace', 'dont', 'attain', 'need', 'keeps', 'silly', 'game', 'play', 'play', 'look', 'madness', 'magnet', 'keeps', 'attracting', 'fast', 'think', 'first', 'surely', 'finish', 'last', 'last', 'chorus', 'cause', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'alone', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'nite', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'alone', 'things', 'never', 'change', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'nite', 'verse', 'hold', 'phone', 'lonely', 'stoner', 'missed', 'solo', 'move', 'cant', 'seem', 'shake', 'shake', 'within', 'dreams', 'sees', 'life', 'made', 'made', 'pain', 'deep', 'silent', 'sleeper', 'wont', 'hear', 'peep', 'peep', 'girl', 'wants', 'dont', 'seem', 'want', 'seems', 'feelings', 'chorus', 'cause', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'alone', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'nite', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'alone', 'things', 'never', 'change', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'nite', 'verse', 'slow', 'tempo', 'slows', 'creates', 'seems', 'alive', 'though', 'feelin', 'blue', 'shinin', 'super', 'cool', 'cool', 'lonely', 'nites', 'fade', 'away', 'slips', 'white', 'nikes', 'smokes', 'clip', 'free', 'mind', 'search', 'free', 'mind', 'search', 'free', 'mind', 'search', 'chorus', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'alone', 'nite', 'lonely', 'loner', 'seems', 'free', 'mind', 'nite', 'nite', 'nite', 'lonely', 'stoner', 'seems', 'free', 'mind', 'nite', 'alone', 'things', 'never', 'change', 'lonely', 'loner', 'seems', 'free', 'mind', 'night', 'night']"
